"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_name","description"
"ENSG00000066294",200.518452347581,-23.4135923430795,5.64934767128477,-4.14447715124512,3.4058991194879e-05,0.0199344902602531,"CD84","CD84 molecule [Source:HGNC Symbol;Acc:HGNC:1704]"
"ENSG00000070190",198.402934713275,-6.5413559550174,1.39985884977088,-4.67286823674261,2.97022330043406e-06,0.00452725678628303,"DAPP1","dual adaptor of phosphotyrosine and 3-phosphoinositides 1 [Source:HGNC Symbol;Acc:HGNC:16500]"
"ENSG00000073737",358.868262483127,-5.21926489958842,1.32674109629447,-3.93389856857949,8.35790647071526e-05,0.0274484920000643,"DHRS9","dehydrogenase/reductase 9 [Source:HGNC Symbol;Acc:HGNC:16888]"
"ENSG00000078098",2659.02410527292,-5.41017236350991,1.38431936724171,-3.908182238532,9.29931523755134e-05,0.0291820717432512,"FAP","fibroblast activation protein alpha [Source:HGNC Symbol;Acc:HGNC:3590]"
"ENSG00000089127",517.598020558566,-6.4656247354963,1.25982557309083,-5.13215866830967,2.86437867324095e-07,0.000555663422802624,"OAS1","2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]"
"ENSG00000090382",141.190995577992,-22.7671057181716,5.64945694388402,-4.02996357779465,5.57854960211357e-05,0.0224605037659437,"LYZ","lysozyme [Source:HGNC Symbol;Acc:HGNC:6740]"
"ENSG00000095970",417.288948291295,-24.4094846583362,5.64921259261956,-4.32086494500598,1.55418780836211e-05,0.0131287768109215,"TREM2","triggering receptor expressed on myeloid cells 2 [Source:HGNC Symbol;Acc:HGNC:17761]"
"ENSG00000100055",363.99500554974,-24.2252101587577,5.64923088809654,-4.28823155552067,1.80101289169465e-05,0.0132523496882318,"CYTH4","cytohesin 4 [Source:HGNC Symbol;Acc:HGNC:9505]"
"ENSG00000100365",83.0808540879387,-22.2249057986752,5.64971523970312,-3.93380991000939,8.36099151789765e-05,0.0274484920000643,"NCF4","neutrophil cytosolic factor 4 [Source:HGNC Symbol;Acc:HGNC:7662]"
"ENSG00000101916",66.2148160400113,-21.910989807045,5.64987509715313,-3.87813702608851,0.000105259428144582,0.0320875848168176,"TLR8","toll like receptor 8 [Source:HGNC Symbol;Acc:HGNC:15632]"
"ENSG00000102359",2899.99040063453,-4.69810375435442,1.15475273911794,-4.0684932758359,4.73181263507812e-05,0.0217410714520518,"SRPX2","sushi repeat containing protein X-linked 2 [Source:HGNC Symbol;Acc:HGNC:30668]"
"ENSG00000105697",25.6113911098157,-20.1317307019688,4.02050133612608,-5.00726875055998,5.52078179399918e-07,0.000906215097708834,"HAMP","hepcidin antimicrobial peptide [Source:HGNC Symbol;Acc:HGNC:15598]"
"ENSG00000106366",18272.4382222671,-4.06906830035631,1.00587920389839,-4.04528524358213,5.22594538310905e-05,0.0217410714520518,"SERPINE1","serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]"
"ENSG00000111331",926.619114046664,-4.12886884299645,0.961266832036557,-4.29523697832053,1.74506824462217e-05,0.0132523496882318,"OAS3","2'-5'-oligoadenylate synthetase 3 [Source:HGNC Symbol;Acc:HGNC:8088]"
"ENSG00000111335",701.663854884053,-5.90215107377254,1.31698798803563,-4.48155270009407,7.41019288361866e-06,0.00987098951977836,"OAS2","2'-5'-oligoadenylate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:8087]"
"ENSG00000112799",141.174985141911,-22.9385187531457,5.64945697672602,-4.06030506075984,4.90086408432094e-05,0.0217410714520518,"LY86","lymphocyte antigen 86 [Source:HGNC Symbol;Acc:HGNC:16837]"
"ENSG00000112936",429.999166378182,-6.65828389671668,1.71023107687996,-3.89320717342105,9.89275981756955e-05,0.030594435035814,"C7","complement C7 [Source:HGNC Symbol;Acc:HGNC:1346]"
"ENSG00000115956",329.95059541596,-23.381264301497,5.64924558957415,-4.13882950046425,3.49082247176906e-05,0.0199344902602531,"PLEK","pleckstrin [Source:HGNC Symbol;Acc:HGNC:9070]"
"ENSG00000120280",37.4800845509498,-21.1390025724586,5.65047883947939,-3.74109932502752,0.000183217089804863,0.0439288705544492,"TASL","TLR adaptor interacting with endolysosomal SLC15A4 [Source:HGNC Symbol;Acc:HGNC:25667]"
